congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,3433,13,NJ,D,"GALLAGHER, Cornelius Edward",-0.128
91,House,8010,10,NJ,D,"RODINO, Peter Wallace, Jr.",0.085
91,House,9322,4,NJ,D,"THOMPSON, Frank, Jr.",-0.088
91,House,10091,7,NJ,R,"WIDNALL, William Beck",-0.355
91,House,10529,8,NJ,D,"JOELSON, Charles Samuel",-0.136
91,House,10609,11,NJ,D,"MINISH, Joseph George",-0.11
91,House,10613,15,NJ,D,"PATTEN, Edward James",-0.185
91,House,10737,9,NJ,D,"HELSTOSKI, Henry",-1.922
91,House,10739,3,NJ,D,"HOWARD, James John",-0.137
91,House,11022,1,NJ,R,"HUNT, John Edmund",1.363
91,House,11046,2,NJ,R,"SANDMAN, Charles William, Jr.",-0.197
91,House,12042,8,NJ,D,"ROE, Robert A.",-0.081
91,House,10584,2,NM,R,"FOREMAN, Edgar Franklin",1.37
91,House,12022,1,NM,R,"LUJÁN, Manuel, Jr.",1.33
91,House,1611,10,NY,D,"CELLER, Emanuel",-0.349
91,House,2476,9,NY,D,"DELANEY, James Joseph",-0.081
91,House,2752,41,NY,D,"DULSKI, Thaddeus Joseph",-0.209
91,House,3056,19,NY,D,"FARBSTEIN, Leonard",-1.977
91,House,3575,22,NY,D,"GILBERT, Jacob H.",-0.158
91,House,3967,6,NY,R,"HALPERN, Seymour",-0.135
91,House,7467,32,NY,R,"PIRNIE, Alexander",-0.288
91,House,7568,18,NY,D,"POWELL, Adam Clayton, Jr.",-0.017
91,House,7995,33,NY,R,"ROBISON, Howard Winfield",-0.24
91,House,8049,14,NY,D,"ROONEY, John James",-0.414
91,House,9017,35,NY,D,"STRATTON, Samuel Studdiford",-0.566
91,House,10500,7,NY,D,"ADDABBO, Joseph Patrick",-0.253
91,House,10508,15,NY,D,"CAREY, Hugh Leo",-1.891
91,House,10530,30,NY,R,"KING, Carleton James",2.046
91,House,10545,1,NY,D,"PIKE, Otis Grey",-0.158
91,House,10551,8,NY,D,"ROSENTHAL, Benjamin Stanley",-1.978
91,House,10555,20,NY,D,"RYAN, William Fitts",-1.852
91,House,10592,2,NY,R,"GROVER, James Russell, Jr.",-0.197
91,House,10596,36,NY,R,"HORTON, Frank Jefferson",-0.263
91,House,10611,16,NY,D,"MURPHY, John Michael",-0.192
91,House,10618,26,NY,R,"REID, Ogden Rogers",-1.947
91,House,10638,4,NY,R,"WYDLER, John Waldemar",-0.522
91,House,10705,23,NY,D,"BINGHAM, Jonathan Brewster",-1.982
91,House,10712,37,NY,R,"CONABLE, Barber Benjamin, Jr.",-0.142
91,House,10733,34,NY,D,"HANLEY, James Michael",-0.184
91,House,10748,39,NY,D,"McCARTHY, Richard Dean",-0.416
91,House,10749,31,NY,R,"McEWEN, Robert Cameron",-0.28
91,House,10760,25,NY,D,"OTTINGER, Richard Lawrence",-0.043
91,House,10768,21,NY,D,"SCHEUER, James Haas",-0.073
91,House,10771,40,NY,R,"SMITH, Henry P., III",-0.188
91,House,10784,3,NY,D,"WOLFF, Lester Lionel",-0.162
91,House,11004,11,NY,D,"BRASCO, Frank James",-1.881
91,House,11009,29,NY,R,"BUTTON, Daniel Evan",-0.219
91,House,11064,13,NY,D,"PODELL, Bertram L.",-0.179
91,House,12003,24,NY,D,"BIAGGI, Mario",-0.326
