"","icpsr","name","party_code","state_abbrev","ambiguity","dim1","dim2","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","se1D","prop1","prop2","prop3","chamber"
"1931","21711","CORREA, Jose Luis","100","CA",0,-0.29,"0.234",82,1,3,57,0.946197628974915,0.972027972027972,-0.446209877729416,0,98.7951807228916,95,96.8975903614458,"House"
"1932","21712","CRIST, Charlie Joseph Jr.","100","FL",0,-0.227,"0.079",77,1,1,57,0.977601706981659,0.985294117647059,-0.424580514431,0,98.7179487179487,98.2758620689655,98.4969053934571,"House"
"1933","21713","DEMINGS, Valdez Butler","100","FL",0,-0.322,"-0.006",82,0,0,60,0.988128125667572,1,-0.489302426576614,0,100,100,100,"House"
"1934","21714","DUNN, Neal Patrick","200","FL",0,0.503,"0.371",67,2,3,69,0.91929829120636,0.964539007092199,0.766591131687164,0,97.1014492753623,95.8333333333333,96.4673913043478,"House"
"1935","21715","ESPAILLAT, Adriano J.","100","NY",0,-0.583,"-0.21",82,0,0,61,0.998750805854797,1,-1,0,100,100,100,"House"
"1936","21566","EVANS, Dwight","100","PA",0,-0.47,"-0.135",81,0,0,58,0.987885534763336,1,-0.489203751087189,0,100,100,100,"House"
"1937","21716","FASO, John J.","200","NY",0,0.234,"-0.008",31,7,6,34,0.716554760932922,0.833333333333333,0.328661531209946,0,81.578947368421,85,83.2894736842105,"House"
"1938","21717","FERGUSON, Anderson Drew IV","200","GA",0,0.597,"0.22",65,1,2,75,0.943506836891174,0.979020979020979,0.851920008659363,0,98.4848484848485,97.4025974025974,97.943722943723,"House"
"1939","21718","FITZPATRICK, Brian K.","200","PA",0,0.142,"-0.122",61,17,10,50,0.657301306724548,0.804347826086957,0.234977409243584,0,78.2051282051282,83.3333333333333,80.7692307692308,"House"
"1940","21719","GAETZ, Matthew L. II","200","FL",0,0.598,"-0.646",59,8,5,60,0.773606538772583,0.901515151515151,0.651107847690582,0,88.0597014925373,92.3076923076923,90.1836969001148,"House"
"1941","21720","GALLAGHER, Michael","200","WI",0,0.438,"0.004",73,3,6,61,0.857047617435455,0.937062937062937,0.60914820432663,0,96.0526315789474,91.044776119403,93.5487038491752,"House"
"1942","21721","GARRETT, Thomas Alexander Jr.","200","VA",0,0.931,"-0.365",32,1,0,33,0.936145603656769,0.984848484848485,0.601383149623871,0,96.969696969697,100,98.4848484848485,"House"
"1943","21722","GONZALEZ, Vicente Jr.","100","TX",0,-0.388,"0.755",76,3,9,48,0.808426260948181,0.911764705882353,-0.0800334364175797,0,96.2025316455696,84.2105263157895,90.2065289806795,"House"
"1944","21723","GOTTHEIMER, Josh S.","100","NJ",0,-0.158,"0.223",81,3,2,55,0.914955675601959,0.964539007092199,-0.216306045651436,0,96.4285714285714,96.4912280701754,96.4598997493734,"House"
"1945","21724","HIGGINS, Clay","200","LA",0,0.627,"-0.31",61,3,4,67,0.888601958751678,0.948148148148148,0.860812783241272,0,95.3125,94.3661971830986,94.8393485915493,"House"
"1946","21725","HOLLINGSWORTH, Joseph Albert III","200","IN",0,0.417,"-0.243",68,9,4,61,0.788859248161316,0.908450704225352,0.547150313854218,0,88.3116883116883,93.8461538461538,91.0789210789211,"House"
"1947","21726","JAYAPAL, Pramila","100","WA",0,-0.646,"-0.466",81,2,0,57,0.985584855079651,0.985714285714286,-0.582601487636566,0,97.5903614457831,100,98.7951807228916,"House"
"1948","21727","JOHNSON, Mike","200","LA",0,0.566,"-0.01",66,3,2,72,0.904528677463531,0.965034965034965,0.800051033496857,0,95.6521739130435,97.2972972972973,96.4747356051704,"House"
"1949","21728","KHANNA, Rohit","100","CA",0,-0.504,"-0.255",81,0,0,60,0.998751997947693,1,-1,0,100,100,100,"House"
"1950","21729","KIHUEN, Ruben Jesus","100","NV",0,-0.397,"0.226",35,1,2,37,0.95587420463562,0.96,-0.513776659965515,0,97.2222222222222,94.8717948717949,96.0470085470085,"House"
"1951","21730","KRISHNAMOORTHI, S. Raja","100","IL",0,-0.328,"-0.03",84,0,0,60,0.986562967300415,1,-0.376395672559738,0,100,100,100,"House"
"1952","21731","KUSTOFF, David","200","TN",0,0.535,"0.372",70,0,1,73,0.942154705524445,0.993055555555556,0.777114033699036,0,100,98.6486486486486,99.3243243243243,"House"
"1953","21732","LAWSON, Alfred Jr.","100","FL",0,-0.26,"0.076",80,0,1,52,0.976589500904083,0.992481203007519,-0.296697974205017,0,100,98.1132075471698,99.0566037735849,"House"
"1954","21733","LEWIS, Jason Mark","200","MN",0,0.506,"-0.197",41,0,0,37,0.993900120258331,1,0.865212798118591,0,100,100,100,"House"
"1955","21734","MARSHALL, Roger Wayne","200","KS",0,0.593,"0.176",61,1,3,59,0.932370901107788,0.967741935483871,0.764060437679291,0,98.3870967741936,95.1612903225807,96.7741935483871,"House"
"1956","21735","MAST, Brian Jeffery","200","FL",0,0.462,"-0.359",62,16,11,54,0.645380735397339,0.811188811188811,0.506747424602509,0,79.4871794871795,83.0769230769231,81.2820512820513,"House"
"1957","21736","MCEACHIN, Aston Donald","100","VA",0,-0.381,"-0.017",75,0,0,56,0.987411260604858,1,-0.487314432859421,0,100,100,100,"House"
"1958","21737","MITCHELL, Paul","200","MI",0,0.422,"0.311",65,1,1,55,0.921819448471069,0.983606557377049,0.702490985393524,0,98.4848484848485,98.2142857142857,98.3495670995671,"House"
"1959","21738","MURPHY, Stephanie","100","FL",0,-0.161,"0.123",80,2,1,58,0.923858165740967,0.978723404255319,-0.245270580053329,0,97.5609756097561,98.3050847457627,97.9330301777594,"House"
"1960","21739","O'HALLERAN, Thomas C.","100","AZ",0,-0.198,"0.18",82,2,3,57,0.897807717323303,0.965277777777778,-0.242118865251541,0,97.6190476190476,95,96.3095238095238,"House"
"1961","21740","PANETTA, James Varni","100","CA",0,-0.288,"0.126",84,0,0,59,0.986881494522095,1,-0.374605655670166,0,100,100,100,"House"
"1962","21741","RASKIN, Jamie Ben","100","MD",0,-0.521,"-0.245",83,0,1,59,0.990290582180023,0.993006993006993,-0.642717897891998,0,100,98.3333333333333,99.1666666666667,"House"
"1963","21742","ROONEY, Francis","200","FL",0,0.501,"-0.494",41,14,3,46,0.67306399345398,0.836538461538462,0.457582890987396,0,74.5454545454545,93.8775510204082,84.2115027829313,"House"
"1964","21743","ROSEN, Jacklyn Sheryl","100","NV",0,-0.288,"0.321",36,1,2,38,0.956554472446442,0.961038961038961,-0.519883990287781,0,97.2972972972973,95,96.1486486486486,"House"
"1965","21744","RUTHERFORD, John Henry","200","FL",0,0.426,"0.068",66,4,4,62,0.898599445819855,0.941176470588235,0.701057970523834,0,94.2857142857143,93.9393939393939,94.1125541125541,"House"
"1966","21745","SMUCKER, Lloyd K.","200","PA",0,0.45,"0.112",73,1,3,62,0.876941621303558,0.971223021582734,0.63132518529892,0,98.6486486486486,95.3846153846154,97.016632016632,"House"
"1967","21746","SOTO, Darren Michael","100","FL",0,-0.361,"0.167",82,1,2,58,0.975665390491486,0.979020979020979,-0.529500484466553,0,98.7951807228916,96.6666666666667,97.7309236947791,"House"
"1968","21747","SUOZZI, Thomas","100","NY",0,-0.219,"0.087",83,0,0,60,0.998750567436218,1,-1,0,100,100,100,"House"
"1969","21748","TAYLOR, Scott William","200","VA",0,0.456,"0.021",39,1,0,37,0.937215268611908,0.987012987012987,0.707475066184998,0,97.5,100,98.75,"House"
"1970","21749","TENNEY, Claudia","200","NY",0,0.456,"0.032",48,0,2,46,0.940788865089417,0.979166666666667,0.654837369918823,0,100,95.8333333333333,97.9166666666667,"House"
"1971","21750","ESTES, Ron","200","KS",0,0.643,"0.058",51,3,2,56,0.907891929149628,0.955357142857143,0.8355992436409,0,94.4444444444444,96.551724137931,95.4980842911877,"House"
"1972","21751","GIANFORTE, Greg","200","MT",0,0.431,"0.085",47,2,2,36,0.897808253765106,0.954022988505747,0.701619863510132,0,95.9183673469388,94.7368421052632,95.327604726101,"House"
"1973","21754","GOMEZ, Jimmy","100","CA",0,-0.542,"-0.302",65,0,1,43,0.988387167453766,0.990825688073395,-0.612171769142151,0,100,97.7272727272727,98.8636363636364,"House"
"1974","21752","HANDEL, Karen","200","GA",0,0.493,"0.305",25,0,0,19,0.990127801895142,1,0.857538163661957,0,100,100,100,"House"
"1975","21753","NORMAN, Ralph","200","SC",0,0.848,"-0.367",45,1,0,60,0.946651637554169,0.990566037735849,1,0,97.8260869565217,100,98.9130434782609,"House"
"1976","21755","CURTIS, John R.","200","UT",0,0.448,"0.156",36,3,3,35,0.816158711910248,0.922077922077922,0.732773423194885,0,92.3076923076923,92.1052631578947,92.2064777327935,"House"
"1977","21756","LAMB, Conor","100","PA",0,-0.143,"0.212",45,0,5,25,0.846311092376709,0.933333333333333,-0.0720218271017075,0,100,83.3333333333333,91.6666666666667,"House"
"1978","21757","LESKO, Debbie","200","AZ",0,0.614,"-0.077",33,2,3,36,0.858185529708862,0.932432432432432,0.806205213069916,0,94.2857142857143,92.3076923076923,93.2967032967033,"House"
"1979","21758","CLOUD, Michael","200","TX",0,0.684,"-0.329",26,0,1,44,0.95799458026886,0.985915492957746,1,0,100,97.7777777777778,98.8888888888889,"House"
"1980","21759","BALDERSON, Troy","200","OH",0,0.455,"0.214",31,1,3,33,0.842757225036621,0.941176470588235,0.72189062833786,0,96.875,91.6666666666667,94.2708333333333,"House"
